totalThreads,blockSize,numBlocks,n,iters,cpu_baseline_ms,gpu_baseline_kernel_ms,cpu_branch_ms,gpu_branch_kernel_ms,cpu_branch_penalty,gpu_branch_penalty
512,256,2,4194304,50,96.349636,269.012909,1154.572297,159.091873,11.983152,0.591391
1024,256,4,4194304,50,102.485019,79.933533,1169.978775,81.545219,11.416096,1.020163
2048,256,8,4194304,50,104.162326,42.766335,1168.292757,43.545506,11.216078,1.018219
1024,128,8,4194304,50,95.712957,104.753151,1297.031926,144.728165,13.551268,1.381612
1024,512,2,4194304,50,147.293901,113.381599,1341.530597,89.550499,9.107849,0.789815
